source	target	depth
female gendering of ai technologies	gender bias	2
female gendering of ai technologies	gender digital divide	2
citizen science	wp:seealso	2
glossary of artificial intelligence	artificial intelligence	2
case-based reasoning	abductive reasoning	2
case-based reasoning	duck test	2
case-based reasoning	i know it when i see it	2
case-based reasoning	commonsense reasoning	2
case-based reasoning	purposeful omission	2
case-based reasoning	decision tree	2
case-based reasoning	genetic algorithm	2
case-based reasoning	pattern matching	2
case-based reasoning	analogy	2
case-based reasoning	k-line (artificial intelligence)	2
case-based reasoning	ripple down rules	2
case-based reasoning	casuistry	2
case-based reasoning	similarity heuristic	2
behavior selection algorithm	cognitive model	2
behavior selection algorithm	behavioral modeling	2
behavior selection algorithm	behavioral modeling in hydrology	2
behavior selection algorithm	behavioral modeling in computer-aided design	2
behavior selection algorithm	behavioral modeling language	2
behavior selection algorithm	case-based reasoning	2
behavior selection algorithm	model-based reasoning	2
business process automation	business-driven development	2
business process automation	business process model and notation	2
business process automation	business process reengineering	2
business process automation	business process execution language	2
business process automation	business rules engine	2
business process automation	comparison of business integration software	2
business process automation	job scheduler	2
business process automation	real-time enterprise	2
business process automation	runbook	2
artificial general intelligence	artificial brain	2
artificial general intelligence	ai control problem	2
artificial general intelligence	automated machine learning	2
artificial general intelligence	brain initiative	2
artificial general intelligence	china brain project	2
artificial general intelligence	future of humanity institute	2
artificial general intelligence	general game playing	2
artificial general intelligence	human brain project	2
artificial general intelligence	intelligence amplification	2
artificial general intelligence	machine ethics	2
artificial general intelligence	multi-task learning	2
artificial general intelligence	superintelligence: paths, dangers, strategies	2
artificial general intelligence	synthetic intelligence	2
artificial general intelligence	transfer learning	2
artificial intelligence arms race	arms race	2
artificial intelligence arms race	artificial intelligence	2
artificial intelligence arms race	post–cold war era	2
artificial intelligence arms race	artificial general intelligence	2
artificial intelligence arms race	ethics of artificial intelligence	2
artificial intelligence arms race	cold war	2
artificial intelligence arms race	second cold war	2
artificial intelligence arms race	space race	2
artificial intelligence arms race	nuclear arms race	2
artificial intelligence arms race	existential risk from artificial general intelligence	2
artificial intelligence arms race	global issue	2
artificial intelligence arms race	lethal autonomous weapon	2
artificial intelligence arms race	military robot	2
artificial intelligence arms race	unmanned combat aerial vehicle	2
ai control problem	ai takeover	2
ai control problem	artificial wisdom	2
ai control problem	hal 9000	2
ai control problem	multivac	2
ai control problem	regulation of algorithms	2
ai control problem	regulation of artificial intelligence	2
social network (sociolinguistics)	computational linguistics	2
social network (sociolinguistics)	fist bump	2
social network (sociolinguistics)	indexicality	2
social network (sociolinguistics)	lesley milroy	2
social network (sociolinguistics)	mark granovetter	2
social network (sociolinguistics)	penelope eckert	2
social network (sociolinguistics)	social network	2
social network (sociolinguistics)	social network analysis	2
social network (sociolinguistics)	sociolinguistics	2
social network (sociolinguistics)	william labov	2
social web	sociology of the internet	2
social web	digital sociology	2
social web	digital anthropology	2
social web	tribe (internet)	2
social web	web science	2
social networking service	anonymous social media	2
social networking service	collective intelligence	2
social networking service	comparison of research networking tools and research profiling systems	2
social networking service	distributed social network	2
social networking service	enterprise bookmarking	2
social networking service	gender differences in social network service use	2
social networking service	geosocial networking	2
social networking service	internet	2
social networking service	internet forum	2
social networking service	internet think tanks	2
social networking service	lateral diffusion	2
social networking service	mass collaboration	2
social networking service	mobile social network	2
social networking service	personal network	2
social networking service	professional network service	2
social networking service	online volunteering	2
social networking service	social aspects of television	2
social networking service	social bookmark link generator	2
social networking service	social identity	2
social networking service	social software	2
social networking service	social television	2
social networking service	social web	2
social networking service	virtual community	2
network theory	complex network	2
network theory	congestion game	2
network theory	quantum complex network	2
network theory	dual-phase evolution	2
network theory	network partition	2
network theory	network science	2
network theory	network theory in risk assessment	2
network theory	network topology	2
network theory	network management	2
network theory	seven bridges of königsberg	2
network theory	small-world networks	2
network theory	social network	2
network theory	scale-free networks	2
network theory	network dynamics	2
network theory	sequential dynamical system	2
network theory	pathfinder network	2
network theory	human disease network	2
network theory	biological network	2
network theory	network medicine	2
network theory	graph partition	2
network society	commons-based peer production	2
network society	complex systems	2
network society	digital citizen	2
network society	digital revolution	2
network society	globalization	2
network society	information age	2
network society	information society	2
network society	knowledge spillover	2
network society	late modernity	2
network society	network economy	2
network society	social network analysis	2
network society	post-industrial society	2
network society	sharing economy	2
network society	social networking service	2
network society	social peer-to-peer processes	2
network society	social system	2
network society	the wealth of networks	2
network science	cascading failure	2
network science	climate as complex networks	2
network science	collaborative innovation network	2
network science	communicative ecology	2
network science	complex network	2
network science	core-periphery structure	2
network science	dual-phase evolution	2
network science	erdős–rényi model	2
network science	glossary of graph theory	2
network science	higher category theory	2
network science	immune network theory	2
network science	irregular warfare	2
network science	interdependent networks	2
network science	network management	2
network science	network dynamics	2
network science	network formation	2
network science	network theory in risk assessment	2
network science	network topology	2
network science	networks in labor economics	2
network science	non-linear preferential attachment	2
network science	percolation	2
network science	percolation theory	2
network science	policy network analysis	2
network science	polytely	2
network science	quantum complex network	2
network science	random networks	2
network science	rumor spread in social network	2
network science	scale-free networks	2
network science	sequential dynamical system	2
network science	service network	2
network science	small-world networks	2
network science	structural cut-off	2
network science	systems theory	2
international network for social network analysis	social network	2
international network for social network analysis	social network analysis software	2
international network for social network analysis	dynamic network analysis	2
business networking	professional network service	2
business networking	personal network	2
business networking	guanxi	2
attention inequality	attention economy	2
attention inequality	kardashian index	2
attention inequality	knowledge gap hypothesis	2
attention inequality	pareto distribution	2
bibliography of sociology	sociology	2
bibliography of sociology	engaged theory	2
bibliography of sociology	history of the social sciences	2
sociomapping	participatory rural appraisal	2
sociomapping	high-performance teams	2
sociomapping	human resources	2
sociomapping	marketing research	2
sociomapping	sociometry	2
sociomapping	team management	2
social software	commons-based peer production	2
social software	conformity	2
social software	customer engagement	2
social software	folksonomy	2
social software	groupthink	2
social software	membership software	2
social software	knowledge management	2
social software	online identity	2
social software	online deliberation	2
social software	participatory media	2
social software	personal network	2
social software	pseudonymity	2
social software	social media	2
social software	social software in education	2
social software	social web	2
social software	the well	2
social software	usenet	2
social software	virtual community	2
social software	online community	2
social software	web community	2
social network analysis software	comparison of research networking tools and research profiling systems	2
social network analysis software	social network	2
social network analysis software	social network analysis	2
social network analysis software	social networking	2
social network analysis software	organizational network analysis	2
social media mining	social media measurement	2
social media mining	text mining	2
social media mining	web mining	2
social media mining	nuvi	2
social media mining	social media	2
social media mining	profiling (information science)	2
social media mining	web scraping	2
social media analytics	social media measurement	2
social media analytics	sentiment analysis	2
social media analytics	data mining	2
social media analytics	social media mining	2
social media analytics	social network analysis	2
metcalfe's law	anti-rival good	2
metcalfe's law	beckstrom's law	2
metcalfe's law	matching (graph theory)	2
metcalfe's law	matthew effect	2
metcalfe's law	pareto principle	2
metcalfe's law	reed's law	2
metcalfe's law	sarnoff's law	2
mathematical sociology	isaac asimov	2
mathematical sociology	foundation series	2
mathematical sociology	positivism	2
mathematical sociology	statistics	2
mathematical sociology	computational sociology	2
mathematical sociology	game theory	2
mathematical sociology	thomas schelling	2
mathematical sociology	peter blau	2
mathematical sociology	harrison white	2
mathematical sociology	nicolas rashevsky	2
mathematical sociology	society for mathematical biology	2
mathematical sociology	interpersonal ties	2
mathematical sociology	james samuel coleman	2
mathematical sociology	james d. montgomery (economist)	2
mathematical sociology	thomas fararo	2
mathematical sociology	social network	2
individual mobility	mobilities	2
individual mobility	private transport	2
individual mobility	network theory	2
individual mobility	personal transporter	2
individual mobility	personal air vehicle	2
individual mobility	personal rapid transit	2
individual mobility	automobile	2
individual mobility	mass automobility	2
individual mobility	car dependence	2
individual mobility	bicycle	2
individual mobility	lévy flight	2
individual mobility	scale-free network	2
individual mobility	public transport	2
individual mobility	b:transportation geography and network science	2
friendship paradox	second neighborhood problem	2
friendship paradox	self-evaluation maintenance theory	2
dynamic network analysis	graph dynamical system	2
dynamic network analysis	international network for social network analysis	2
dynamic network analysis	kathleen m. carley	2
dynamic network analysis	network dynamics	2
dynamic network analysis	network science	2
dynamic network analysis	sequential dynamical system	2
complex network	community structure	2
complex network	complex adaptive system	2
complex network	complex systems	2
complex network	dual-phase evolution	2
complex network	dynamic network analysis	2
complex network	interdependent networks	2
complex network	network theory	2
complex network	network science	2
complex network	percolation theory	2
complex network	random graph	2
complex network	random graph theory of gelation	2
complex network	scale-free networks	2
complex network	small world networks	2
complex network	spatial network	2
complex network	trophic coherence	2
digital humanities	cyborg anthropology	2
digital humanities	digital anthropology	2
community structure	complex network	2
community structure	hierarchy	2
community structure	network theory	2
community structure	percolation theory	2
actor-network theory	annemarie mol	2
actor-network theory	helen verran	2
actor-network theory	mapping controversies	2
actor-network theory	science and technology studies	2
actor-network theory	social construction of technology	2
actor-network theory	technology dynamics	2
